Label,Notation,Parent Notation,Sort Priority
Programming and broadcasting services,http-//business-data-gov-uk/companies/def/sic-2007/60,http://business.data.gov.uk/companies/def/sic-2007/J,114
Telecommunications services,http-//business-data-gov-uk/companies/def/sic-2007/61,http://business.data.gov.uk/companies/def/sic-2007/J,115
"Computer programming, consultancy and related services",http-//business-data-gov-uk/companies/def/sic-2007/62,http://business.data.gov.uk/companies/def/sic-2007/J,116
Information services,http-//business-data-gov-uk/companies/def/sic-2007/63,http://business.data.gov.uk/companies/def/sic-2007/J,117
"Financial services, except insurance and pension funding",http-//business-data-gov-uk/companies/def/sic-2007/64,http://business.data.gov.uk/companies/def/sic-2007/K,118
Insurance & Reinsurance,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/65-1-2,http://business.data.gov.uk/companies/def/sic-2007/K,119
Pension funding,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/65-3,http://business.data.gov.uk/companies/def/sic-2007/K,120
Services auxiliary to financial services and insurance services,http-//business-data-gov-uk/companies/def/sic-2007/66,http://business.data.gov.uk/companies/def/sic-2007/K,121
"Buying and selling of own real estate: renting and operating of own or leased real estate, excluding imputed rent",http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/68-1-2,http://business.data.gov.uk/companies/def/sic-2007/L,122
Real estate activities on a fee or contract basis,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/68-3,http://business.data.gov.uk/companies/def/sic-2007/L,123
Legal activities,http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/69-1,http://business.data.gov.uk/companies/def/sic-2007/M,124
"Accounting, bookkeeping and auditing activities: tax consultancy",http-//gss-data-org-uk/data/gss_data/climate-change/beis-supplementary-tables-2019-uk-greenhouse-gas-emissions-by-standard-industrial-classification-concept/sic-2007/69-2,http://business.data.gov.uk/companies/def/sic-2007/M,125
Services of head offices; management consulting services,http-//business-data-gov-uk/companies/def/sic-2007/70,http://business.data.gov.uk/companies/def/sic-2007/M,126
Architectural and engineering services; technical testing and analysis services,http-//business-data-gov-uk/companies/def/sic-2007/71,http://business.data.gov.uk/companies/def/sic-2007/M,127
Scientific research and development services,http-//business-data-gov-uk/companies/def/sic-2007/72,http://business.data.gov.uk/companies/def/sic-2007/M,128
Advertising and market research services,http-//business-data-gov-uk/companies/def/sic-2007/73,http://business.data.gov.uk/companies/def/sic-2007/M,129
"Other professional, scientific and technical services",http-//business-data-gov-uk/companies/def/sic-2007/74,http://business.data.gov.uk/companies/def/sic-2007/M,130
Veterinary services,http-//business-data-gov-uk/companies/def/sic-2007/75,http://business.data.gov.uk/companies/def/sic-2007/M,131
Rental and leasing services,http-//business-data-gov-uk/companies/def/sic-2007/77,http://business.data.gov.uk/companies/def/sic-2007/N,132
Employment services,http-//business-data-gov-uk/companies/def/sic-2007/78,http://business.data.gov.uk/companies/def/sic-2007/N,133
"Travel agency, tour operator and other reservation services and related services",http-//business-data-gov-uk/companies/def/sic-2007/79,http://business.data.gov.uk/companies/def/sic-2007/N,134
Security and investigation services,http-//business-data-gov-uk/companies/def/sic-2007/80,http://business.data.gov.uk/companies/def/sic-2007/N,135
Services to buildings and landscape,http-//business-data-gov-uk/companies/def/sic-2007/81,http://business.data.gov.uk/companies/def/sic-2007/N,136
"Office administrative, office support and other business support services",http-//business-data-gov-uk/companies/def/sic-2007/82,http://business.data.gov.uk/companies/def/sic-2007/N,137
