Period,Final Demand Code,Measure,Unit,Value
year/1994,FD 4,carbon-dioxide-emissions,kt-co2,18966.83
year/1994,FD 5,carbon-dioxide-emissions,kt-co2,90502.191
year/1994,FD 6,carbon-dioxide-emissions,kt-co2,111.904
year/1994,FD 7,carbon-dioxide-emissions,kt-co2,5138.283
year/1995,FD 1,carbon-dioxide-emissions,kt-co2,357117.051
year/1995,FD 1,carbon-dioxide-emissions,kt-co2,139700.9
year/1995,FD 2,carbon-dioxide-emissions,kt-co2,4749.726
year/1995,FD 3,carbon-dioxide-emissions,kt-co2,30150.461
year/1995,FD 4,carbon-dioxide-emissions,kt-co2,17815.204
year/1995,FD 5,carbon-dioxide-emissions,kt-co2,87747.086
year/1995,FD 6,carbon-dioxide-emissions,kt-co2,172.308
year/1995,FD 7,carbon-dioxide-emissions,kt-co2,5736.304
year/1996,FD 1,carbon-dioxide-emissions,kt-co2,349137.76
year/1996,FD 1,carbon-dioxide-emissions,kt-co2,154953.5
year/1996,FD 2,carbon-dioxide-emissions,kt-co2,5551.276
year/1996,FD 3,carbon-dioxide-emissions,kt-co2,37889.864
year/1996,FD 4,carbon-dioxide-emissions,kt-co2,18912.037
year/1996,FD 5,carbon-dioxide-emissions,kt-co2,80196.184
year/1996,FD 6,carbon-dioxide-emissions,kt-co2,1340.314
year/1996,FD 7,carbon-dioxide-emissions,kt-co2,3769.685
year/1997,FD 1,carbon-dioxide-emissions,kt-co2,415201.591
year/1997,FD 1,carbon-dioxide-emissions,kt-co2,148672.3
year/1997,FD 2,carbon-dioxide-emissions,kt-co2,4176.604
year/1997,FD 3,carbon-dioxide-emissions,kt-co2,29991.481
year/1997,FD 4,carbon-dioxide-emissions,kt-co2,18891.829
year/1997,FD 5,carbon-dioxide-emissions,kt-co2,104160.326
year/1997,FD 6,carbon-dioxide-emissions,kt-co2,1340.314
year/1997,FD 7,carbon-dioxide-emissions,kt-co2,4427.425
year/1998,FD 1,carbon-dioxide-emissions,kt-co2,433879.114
year/1998,FD 1,carbon-dioxide-emissions,kt-co2,150576.6
year/1998,FD 2,carbon-dioxide-emissions,kt-co2,4345.195
year/1998,FD 3,carbon-dioxide-emissions,kt-co2,30743.695
year/1998,FD 4,carbon-dioxide-emissions,kt-co2,20101.722
year/1998,FD 5,carbon-dioxide-emissions,kt-co2,110604.902
year/1998,FD 6,carbon-dioxide-emissions,kt-co2,1783.789
year/1998,FD 7,carbon-dioxide-emissions,kt-co2,7420.771
year/1999,FD 1,carbon-dioxide-emissions,kt-co2,432155.46
year/1999,FD 1,carbon-dioxide-emissions,kt-co2,151546.6
year/1999,FD 2,carbon-dioxide-emissions,kt-co2,4262.342
year/1999,FD 3,carbon-dioxide-emissions,kt-co2,30589.846
year/1999,FD 4,carbon-dioxide-emissions,kt-co2,19385.973
year/1999,FD 5,carbon-dioxide-emissions,kt-co2,109256.958
year/1999,FD 6,carbon-dioxide-emissions,kt-co2,1670.514
year/1999,FD 7,carbon-dioxide-emissions,kt-co2,5129.643
year/2000,FD 1,carbon-dioxide-emissions,kt-co2,441648.776
year/2000,FD 1,carbon-dioxide-emissions,kt-co2,151895.8
year/2000,FD 2,carbon-dioxide-emissions,kt-co2,4141.803
year/2000,FD 3,carbon-dioxide-emissions,kt-co2,31004.141
year/2000,FD 4,carbon-dioxide-emissions,kt-co2,19168.599
year/2000,FD 5,carbon-dioxide-emissions,kt-co2,112703.788
year/2000,FD 6,carbon-dioxide-emissions,kt-co2,2435.897
year/2000,FD 7,carbon-dioxide-emissions,kt-co2,5008.24
year/2001,FD 1,carbon-dioxide-emissions,kt-co2,455333.014
year/2001,FD 1,carbon-dioxide-emissions,kt-co2,155646.5
year/2001,FD 2,carbon-dioxide-emissions,kt-co2,4326.248
year/2001,FD 3,carbon-dioxide-emissions,kt-co2,32222.684
year/2001,FD 4,carbon-dioxide-emissions,kt-co2,19632.561
