Label,URI,Parent URI,Sort Priority,Description,Local Notation
Insurance & Reinsurance,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/65-1-2,http://business.data.gov.uk/companies/def/sic-2007/K,,,65-1-2
Pension funding,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/65-3,http://business.data.gov.uk/companies/def/sic-2007/K,,,65-3
Services auxiliary to financial services and insurance services,http-//business-data-gov-uk/companies/def/sic-2007/66,http://business.data.gov.uk/companies/def/sic-2007/K,,,66
"Buying and selling of own real estate: renting and operating of own or leased real estate, excluding imputed rent",http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/68-1-2,http://business.data.gov.uk/companies/def/sic-2007/L,,,68-1-2
Real estate activities on a fee or contract basis,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/68-3,http://business.data.gov.uk/companies/def/sic-2007/L,,,68-3
Legal activities,http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/69-1,http://business.data.gov.uk/companies/def/sic-2007/M,,,69-1
"Accounting, bookkeeping and auditing activities: tax consultancy",http-//gss-data-org-uk/data/gss_data/climate-change/ons-atmospheric-emissions-other-pollutants-by-industry-and-gas-concept/sic-2007/69-2,http://business.data.gov.uk/companies/def/sic-2007/M,,,69-2
Services of head offices; management consulting services,http-//business-data-gov-uk/companies/def/sic-2007/70,http://business.data.gov.uk/companies/def/sic-2007/M,,,70
Architectural and engineering services; technical testing and analysis services,http-//business-data-gov-uk/companies/def/sic-2007/71,http://business.data.gov.uk/companies/def/sic-2007/M,,,71
Scientific research and development services,http-//business-data-gov-uk/companies/def/sic-2007/72,http://business.data.gov.uk/companies/def/sic-2007/M,,,72
Advertising and market research services,http-//business-data-gov-uk/companies/def/sic-2007/73,http://business.data.gov.uk/companies/def/sic-2007/M,,,73
"Other professional, scientific and technical services",http-//business-data-gov-uk/companies/def/sic-2007/74,http://business.data.gov.uk/companies/def/sic-2007/M,,,74
Veterinary services,http-//business-data-gov-uk/companies/def/sic-2007/75,http://business.data.gov.uk/companies/def/sic-2007/M,,,75
Rental and leasing services,http-//business-data-gov-uk/companies/def/sic-2007/77,http://business.data.gov.uk/companies/def/sic-2007/N,,,77
Employment services,http-//business-data-gov-uk/companies/def/sic-2007/78,http://business.data.gov.uk/companies/def/sic-2007/N,,,78
"Travel agency, tour operator and other reservation services and related services",http-//business-data-gov-uk/companies/def/sic-2007/79,http://business.data.gov.uk/companies/def/sic-2007/N,,,79
