,period_start,east scotland,north scotland,west scotland,northern ireland,east midlands,east of england,london,north east england,north west england,south east england,south west england,wales,west midlands,yorkshire and humber,daycount
611,1912-12-01,174-51916,288-45777999999996,287-29085,152-35833,82-77889,63-259969999999996,71-2946,77-22531,149-31121000000002,96-39964,157-29406,184-39325,84-35545,78.03201999999999,31
612,1913-01-01,128-78207,95-98504,164-13217,144-47915,85-11925,66-92456,70-92201,103-90494,123-52393000000001,107-55313999999998,169-67068,180-04353999999998,99-71294,106.43321999999999,31
613,1913-02-01,58-87441,115-78798,102-52354,46-88279,21-36595,17-57605,19-85748,34-3594,65-08724000000001,28-086340000000003,37-10422,67-74502,29-161959999999997,30.53649,28
614,1913-03-01,155-50766000000002,182-99569,176-30382,101-71388,84-57240999999999,53-206509999999994,59-2072,111-56586000000001,147-82478,75-05107,115-88193000000001,190-05441000000002,118-97904,101.63339,31
615,1913-04-01,96-25229,103-74744,127-29621999999999,111-63096999999999,65-34919000000001,53-547959999999996,66-60243,91-12159,136-64685,80-02846,113-22626000000001,165-64418999999998,97-573,85.89067,30
616,1913-05-01,111-66245,98-85221999999999,116-61377,93-98316,51-77053,46-035779999999995,38-0416,70-00086999999999,77-15975,51-33416,78-51361,96-73261,63-01054,61.61895,31
617,1913-06-01,70-47058,122-76716,100-9396,86-96816,25-39368,29-01725,11-6933,46-71748,78-95611,17-19621,31-970809999999997,86-00771999999999,28-5372,36.28382,30
618,1913-07-01,24-15071,37-0958,32-50969,43-74324,23-6699,42-94747,53-83067,30-612379999999998,36-080690000000004,50-69867,21-271379999999997,37-6248,28-6908,21.93218,31
619,1913-08-01,40-19605,52-56324,52-181940000000004,32-86163,30-853479999999998,30-60057,40-98577,43-22842,62-68408,41-61685,39-07817,68-79137,40-483270000000005,32.31346,31
620,1913-09-01,78-23633000000001,81-54907,79-73104000000001,103-00957,47-91975,41-82512,39-807520000000004,78-68084,67-17554,58-401619999999994,80-22715,115-43158999999999,53-621680000000005,49.35747,30
621,1913-10-01,71-24387,128-86353,106-07408000000001,83-64456,95-91816999999999,85-36979000000001,90-09728,75-89541,86-16337,114-98783999999999,108-28906,144-80211,100-17501,76.61777,31
622,1913-11-01,97-59309,239-80508999999998,194-7329,109-65441000000001,59-37752,56-11275,61-624159999999996,58-98928000000001,126-90836999999999,84-25149,115-50469,174-11411,69-0193,73.79334,30
623,1913-12-01,82-39771,183-85227,144-34067,99-44945,24-94655,18-15457,22-73115,52-52156,95-845,38-467690000000005,77-08946999999999,87-54851,33-081379999999996,53.55341,31
624,1914-01-01,81-07296,171-18198999999998,133-83924,63-86449,37-5542,35-27001,14-027120000000002,61-3652,95-73170999999999,19-55837,35-421459999999996,98-46463,29-089779999999998,53.397240000000004,31
625,1914-02-01,128-53635,160-54013,215-23156,136-76507,33-46725,39-77325,67-57885,68-02917,122-6779,96-12749000000001,121-80568000000001,151-9559,56-00169,55.46969,28
626,1914-03-01,130-59711000000001,121-02072,173-56947,128-00268,68-50543,90-86019,105-1995,75-24349000000001,125-04314,122-81026000000001,163-66548999999998,180-4715,71-55131999999999,72.1165,31
627,1914-04-01,48-972559999999994,113-3404,96-14862,52-7322,26-40959,18-31237,22-08734,24-04585,36-75934,31-82075,46-45605,43-30953,28-10258,23.73166,30
628,1914-05-01,66-49597,104-15339,66-60200999999999,55-01862,39-62162,30-61755,43-29099,45-70862,65-34380999999999,33-525929999999995,46-84305,74-21358000000001,40-20487,45.25111,31
629,1914-06-01,39-89561,59-79841999999999,36-53785,38-55295,59-486709999999995,46-05595,39-836690000000004,91-48804,49-23344,36-96877,56-92661,64-45136,62-77835,63.41296,30
630,1914-07-01,84-57653,111-38838,84-57554,69-00719000000001,66-28433000000001,53-96136,40-15445,74-45813000000001,127-58332,63-209869999999995,121-55233,144-36065,102-45176,104.24947,31
631,1914-08-01,76-62593000000001,112-78761999999999,139-80541000000002,103-68959,45-086729999999996,30-0053,32-358959999999996,54-271969999999996,90-5836,39-89651,79-80081,113-37548999999999,54-332,50.88861,31
632,1914-09-01,37-8104,107-42008999999999,73-77228000000001,48-23328,26-23832,25-191010000000002,21-84178,43-71569,85-21128,29-13852,62-41268,75-37164,30-44545,45.23059,30
633,1914-10-01,66-83381,55-36094,66-75033,47-28228,60-047109999999996,52-82975,31-91637,64-14863000000001,54-182719999999996,62-893330000000006,82-26581,68-51693,48-23988,59.463809999999995,31
634,1914-11-01,158-44285,222-00512,186-41598,134-19808999999998,78-31213000000001,65-61304,75-96414,118-22108999999999,161-94786000000002,93-56851,127-08948000000001,155-78446,83-12028000000001,103.31808000000001,30
635,1914-12-01,220-73157999999998,220-00162000000003,244-52459,200-4715,133-65899,144-76028,166-40274,164-0475,197-92276999999999,202-92386000000002,230-81072000000003,262-84327,159-09048,165.71643999999998,31
636,1915-01-01,93-65756999999999,180-09444,141-43821,104-25027,74-48056,72-73848000000001,96-89844000000001,71-18984,140-18774,99-62191999999999,116-67943999999999,152-0333,78-79364,104.36903000000001,31
637,1915-02-01,170-16568999999998,129-61283999999998,222-40405,124-21139,77-69713,68-47187,87-47057,98-29561,156-88867,120-68096000000001,178-6146,204-96614,92-86825,110.23827,28
638,1915-03-01,62-43584,118-12828999999999,82-81016,35-14875,30-28428,36-19181,18-67814,58-463730000000005,57-93626999999999,23-85764,28-7153,45-6698,21-76729,36.82606,31
639,1915-04-01,60-41695,164-94307,112-30344,75-35134000000001,20-3952,21-043770000000002,30-55195,26-928240000000002,68-79093,32-44147,36-762879999999996,61-62255,29-37435,31.073759999999996,30
640,1915-05-01,38-43958,34-25258,36-95231,33-52233,43-12294,51-551140000000004,79-35929,53-199419999999996,44-8563,87-90164,76-91456,82-68878000000001,67-26835,43.46416,31
641,1915-06-01,45-72922,30-14012,52-50022,63-45018,30-75814,27-67564,19-92541,21-41349,37-40265,24-26761,43-83104,51-92429,29-758809999999997,18.67191,30
642,1915-07-01,112-83917,131-00767,134-07769,129-46308,136-99751,101-44049,104-15553,99-94718,124-49262,105-01536000000002,120-09686,143-41451,148-83762,126.57713999999999,31
643,1915-08-01,101-04401999999999,84-80794,83-97341999999999,94-31132,68-17019,64-80756,67-70827,86-66450999999999,114-82965,52-5185,65-26720999999999,92-92078000000001,72-17149,78.45074,31
644,1915-09-01,75-50208,122-73723000000001,45-32219,39-7458,25-79034,37-91581,50-32481,47-24819,30-886390000000002,66-89865999999999,45-29916,37-23852,20-16304,28.87033,30
645,1915-10-01,103-30803,50-67429,94-61572,82-57925999999999,38-506190000000004,38-012029999999996,51-86694,42-73274,46-5292,77-66915,135-33956,104-25743,69-99248,34.80323,31
646,1915-11-01,87-18175,134-29775,81-23919000000001,78-79993,68-95441,68-51239,60-78004,51-466359999999995,60-96905,73-96173,74-36594000000001,112-73513,61-973,62.21671,30
647,1915-12-01,203-91558999999998,156-50527,205-19904,174-9822,130-5327,104-35141999999999,138-60182,171-0844,208-82841000000002,175-46414,227-85767,268-70072999999996,132-70072,174.7924,31
648,1916-01-01,131-27154,260-95957000000004,207-3707,94-45568,31-14671,34-58128,30-481379999999998,64-53656,116-02768,35-62999,53-103919999999995,116-09808000000001,30-63857,45.19842,31
649,1916-02-01,131-84278999999998,175-33685,175-02308,118-54943999999999,108-68351000000001,93-28112,91-03056,102-89656,128-13086,120-74197,167-17776,180-7515,105-50169,110.74878999999999,29
650,1916-03-01,96-89357,70-43682,51-81178,49-098859999999995,111-77366,93-58324,105-04106000000002,114-86797,64-79933,109-14955,103-26182,89-57160999999999,91-52093,105.64336999999999,31
651,1916-04-01,85-64831,108-13596000000001,120-71848999999999,116-71555,38-04761,37-951440000000005,32-40644,51-62972,84-38409,29-66,32-695640000000004,84-46053,33-495540000000005,44.81497,30
652,1916-05-01,114-9145,120-78496000000001,137-44606000000002,154-49106,57-30166,48-38893,51-2039,86-06255999999999,88-9456,49-83012,62-60089,109-55528000000001,68-27729000000001,75.98965,31
653,1916-06-01,89-98964000000001,104-07978,65-27266,60-10341,54-19081,61-93541,57-757490000000004,65-83036,84-14138,58-99737,62-47164,77-13784,44-076159999999994,57.764559999999996,30
654,1916-07-01,155-47583999999998,89-21708000000001,109-11781,81-17747,43-7653,35-94693,35-82371,92-95008,90-21231,31-868159999999996,38-88066,57-01246999999999,50-03255,55.900980000000004,31
655,1916-08-01,117-437,65-63046999999999,120-15843000000001,78-6632,73-13715,90-09563,102-87222,91-97919,92-64106,83-02943,121-65961999999999,91-98684,64-6278,68.84824,31
656,1916-09-01,49-44695,63-53774,61-39411,32-44644,36-20771,33-49924,33-326029999999996,55-49125,77-74382,40-60926,67-36978,93-2307,30-538990000000002,48.47552,30
657,1916-10-01,188-06636,251-41476,237-26195,189-10618,64-0134,62-56527,85-8945,115-35237,202-57234,119-73227,176-91883,260-79652999999996,99-84785,125.71367,31
658,1916-11-01,160-69335,169-62143,174-50139,117-87926999999999,82-77741,82-07415,113-23175,120-34398999999999,129-77454,117-89278,143-4631,130-66281999999998,69-92076,91.23427,30
659,1916-12-01,131-7097,132-94375,169-07933,87-60306,70-23139,72-54378,65-84284,100-53755,103-39678,93-02025,116-57495,103-04229000000001,61-35533,78.81591999999999,31
660,1917-01-01,77-38465,135-49751,85-73295999999999,68-55884,63-562780000000004,45-280159999999995,29-768109999999997,102-1762,75-92571,38-9662,42-09637,57-863780000000006,47-91155,86.03979,31
661,1917-02-01,27-737140000000004,37-34685,40-8779,63-89338000000001,22-06311,19-49596,20-42365,30-00445,38-28287,26-469820000000002,35-78131,50-38497,27-830109999999998,21.26515,28
662,1917-03-01,69-66665,96-17488,84-11754,84-67799000000001,41-2699,49-071059999999996,42-36032,57-7518,72-66996999999999,53-4545,90-46603,95-79443,55-8777,65.11496,31
663,1917-04-01,57-38711,99-10414,71-02968,76-95283,41-96541,43-02248,52-632059999999996,77-41807,63-948840000000004,51-79952,53-03394,73-37612,39-14655,56.96572,30
664,1917-05-01,71-42217,64-93930999999999,108-28961000000001,101-17635,47-225609999999996,29-745040000000003,58-91271,64-69109,74-8431,49-018640000000005,65-77186999999999,95-484,83-16001,47.01964,31
665,1917-06-01,64-22463,105-72356,89-86022,66-3835,49-62927,48-24436,64-10081,44-67815,68-80478000000001,64-47565,96-2094,77-38436,66-26226,48.19312,30
666,1917-07-01,52-24015,53-58745,60-26951999999999,61-573330000000006,38-27939,74-79697,117-62382,36-99991,45-757059999999996,102-0618,72-31733,76-27613000000001,48-63378,36.838,31
667,1917-08-01,160-95523,148-626,162-25832,160-73488999999998,138-53992,115-83611,109-33671000000001,196-65343000000001,211-08314,141-3332,171-26639,271-8175,140-58819,164.9712,31
668,1917-09-01,59-77421,161-3346,114-65718999999999,65-40208,36-40677,44-136379999999996,47-002629999999996,44-85066,93-51245,42-89966,61-33053,83-80842,44-93692,29.57147,30
669,1917-10-01,137-65403,279-46136,272-45819,181-22012,87-70279000000001,89-57226999999999,84-51369,89-41198,192-59568000000002,107-49506000000001,157-7218,209-24378000000002,90-76541999999999,109.09563999999999,31
670,1917-11-01,134-05358999999999,289-13362,243-54907000000003,147-91056,37-853809999999996,38-77498,37-589240000000004,53-14416,126-75266,31-112040000000004,50-41189,115-51823,38-66773,60.0173,30
671,1917-12-01,57-937569999999994,112-34305,107-46393,86-40725,29-10833,25-6758,32-5742,71-96309000000001,66-06241,43-58543,33-30173,58-18264,30-063159999999996,48.255340000000004,31
672,1918-01-01,104-67649,145-05307,166-34826,92-33019,52-09775,62-3234,72-88667,86-84359,117-41022,84-76745,118-93113000000001,134-03319,59-99612,66.45401,31
673,1918-02-01,116-21568,194-89068,215-9583,129-41012,43-945679999999996,22-921960000000002,25-51784,56-593669999999996,130-35905,31-83435,59-678169999999994,139-21025,40-69625,80.64863000000001,28
674,1918-03-01,37-64543,56-12206,57-364369999999994,36-08098,23-8777,19-03775,23-38723,33-77845,47-22367,25-674870000000002,46-4834,75-13495,35-51787,35.896570000000004,31
675,1918-04-01,26-63252,51-741640000000004,33-4854,43-13545,48-72787,74-11950999999999,85-42484,38-51362,32-53516,73-83957,63-323890000000006,56-916880000000006,55-138690000000004,34.97903,30
676,1918-05-01,81-07819,69-9296,82-9883,74-71538000000001,61-33108000000001,45-04182,54-11261,53-9396,66-71791999999999,45-12008,40-34643,85-85511,60-45176,67.45395,31
677,1918-06-01,33-30037,85-14653,57-36446,49-12587,18-582639999999998,23-29939,25-327170000000002,17-45037,52-71597,25-81435,34-3192,52-38559,23-60892,24.89958,30
678,1918-07-01,138-9885,160-3516,114-17298000000001,112-13439,75-1768,96-55464,151-00824,102-75844000000001,126-06595,113-3421,127-26136000000001,138-03932,80-65565,107.1278,31
679,1918-08-01,83-30156,161-17626,122-63005,104-93508999999999,44-69298,35-24488,33-719809999999995,56-47014,109-09181000000001,36-4201,71-07165,76-4726,42-36707,70.80752,31
680,1918-09-01,154-76136,182-06046,196-87626,163-46201000000002,122-99603,125-08025,130-50366,160-65563999999998,270-57619,143-09292,197-75146999999998,291-22452000000004,154-34601,180.1275,30
681,1918-10-01,123-34466,170-27114,219-03931,123-03953,42-24498,47-88277,36-10346,91-72123,131-43992,48-156909999999996,66-38668,130-59616,37-63064,56.85592,31
682,1918-11-01,95-34702,167-50567,186-73734,127-50365,48-04889,50-58813,54-09066,42-022659999999995,80-66662,62-42728,86-91598,107-28806000000002,47-26393,47.86418,30
683,1918-12-01,88-47058,174-75261,199-90089,139-80545,83-73316,66-92745,57-155440000000006,82-79419,197-86771000000002,63-803819999999995,133-31363000000002,233-42514,86-01935999999999,128.97922,31
684,1919-01-01,111-07611000000001,114-25521,146-47738999999999,129-91239,92-81203000000001,76-11589000000001,82-21209,100-37939,133-68848,115-17706000000001,152-88308999999998,160-52241999999998,84-62623,108.22362,31
685,1919-02-01,47-85631,41-89452,32-34122,37-02346,63-98255,68-45699,61-88994,52-38688,35-49872,67-15756,107-6158,93-15399000000001,62-997319999999995,50.45645,28
686,1919-03-01,87-49984,126-0206,124-53601,103-47199,95-40126,61-07366999999999,83-99018000000001,80-37289,138-24788,110-50453999999999,139-20586,202-65507,119-19515,111.54858999999999,31
687,1919-04-01,81-96642,160-48998999999998,90-19416,62-07391,49-3139,67-10101999999999,78-84725999999999,48-28184,64-03366,68-65565,66-23297,80-91749,46-12395,49.584309999999995,30
688,1919-05-01,32-83698,30-4678,34-60671,52-14693,28-0248,12-447230000000001,7-76929,28-97043,44-631190000000004,11-25328,28-982029999999998,35-34235,22-032970000000002,33.23559,31
689,1919-06-01,60-993680000000005,139-91851,132-50609,87-15356,25-854129999999998,32-2197,36-55212,30-6954,56-12067,24-07668,29-0471,70-09642,29-285909999999998,28.96645,30
690,1919-07-01,22-84529,47-738820000000004,40-8172,19-63809,75-40635,71-33345,54-806909999999995,40-459559999999996,43-39358,55-929190000000006,55-46281,44-65535,65-14152,69.75803,31
691,1919-08-01,71-45373000000001,130-80675,114-26908999999999,103-60762,67-38525,58-280519999999996,58-427530000000004,71-28430999999999,108-78152,70-42199000000001,85-76158000000001,105-40098,63-789680000000004,73.41204,31
692,1919-09-01,79-20902,167-54653000000002,135-57605,96-12999,49-43116,26-76057,31-85598,37-99811,82-14601,43-33088,54-31799,91-26874000000001,49-00335,39.50357,30
693,1919-10-01,69-86440999999999,112-53256,54-65513000000001,54-70571999999999,55-959,37-65674,19-85578,126-45983000000001,80-02167,26-57002,54-688880000000005,82-23449000000001,64-47284,108.25268,31
694,1919-11-01,164-26226,177-52383999999998,132-45803999999998,94-0201,52-66714,50-06172,35-86877,126-06603999999999,88-62116,57-34053,82-06000999999999,88-10906,38-27595,76.60045,30
695,1919-12-01,172-9692,164-86565,268-55555,231-97447000000003,104-18851,98-03305,93-43088,106-43645,177-77719,127-67151000000001,176-10516,234-79535,98-06108,119.08301999999999,31
696,1920-01-01,130-87554,225-27097,214-64754,145-43441,65-11938,51-97959,62-850190000000005,91-8018,144-04788,84-75621,153-89762,189-57891999999998,83-93231999999999,99.88271999999999,31
697,1920-02-01,112-84075,234-92657000000003,191-92423,80-95952,41-357890000000005,14-857879999999998,14-12776,48-56838,103-51633000000001,16-09297,31-56793,106-39003000000001,38-59102,53.67188,29
698,1920-03-01,112-8728,152-57464,168-64158999999998,99-56969000000001,58-39924,34-66104,35-33726,98-84731,146-61219,46-766490000000005,95-25989,189-4033,71-67134,74.92487,31
699,1920-04-01,68-99771,93-84722,84-45598000000001,95-95008,110-67164,85-4539,75-35557,87-02436,128-1777,85-86818000000001,124-12687,192-89948,116-74134,114.35626,30
700,1920-05-01,107-78403999999999,122-29388,165-67129,100-15821,62-47009,34-54403,20-13266,106-46667,148-99625,34-155590000000004,54-46703,122-82542,66-4834,82.87432,31
701,1920-06-01,35-46467,47-4391,71-011,71-18956,56-99598,39-75335,46-23838,28-52621,70-37276,50-76972,71-24519000000001,99-25536,75-97485999999999,41.95282,30
702,1920-07-01,98-16572,109-93066999999999,132-16805,100-16384000000001,93-11509000000001,82-05183000000001,102-50885,106-76863,163-31689,123-08322,145-55461,197-06389,115-55683,149.60629,31
703,1920-08-01,125-16593,88-35214,148-94586999999999,76-27436999999999,30-212559999999996,39-70602,42-700990000000004,54-29361,69-82731,38-491240000000005,43-88641,79-04628000000001,31-901459999999997,43.76869,31
704,1920-09-01,63-75269,117-33376000000001,102-11308000000001,79-98147,46-55314,61-712819999999994,79-92471,47-16196,84-62423000000001,65-34738,62-08446,126-82471000000001,61-76985,41.506190000000004,30
705,1920-10-01,87-77778,52-356559999999995,106-55753999999999,156-87581,39-9071,21-413220000000003,32-24284,63-03917,52-080940000000005,53-02519,102-40983,117-49082,71-16579,65.41164,31
706,1920-11-01,105-57694,180-16151000000002,151-08172,114-26454,24-30835,20-19419,28-025170000000003,42-97493,72-40148,38-931129999999996,57-2483,78-35913000000001,22-023979999999998,40.90246,30
707,1920-12-01,131-69715,111-13443000000001,156-24243,122-41181,64-09468000000001,60-89491999999999,55-059630000000006,117-981,104-55354,72-38825,108-36307,138-49118,65-0424,87.00326,31
708,1921-01-01,149-71934,259-46814,262-91882999999996,146-51106000000001,63-15916,49-07246,52-89314,142-18614,195-74135,72-6584,106-6116,193-78914,71-03737,108.51127,31
